,CHICK,CHILI,CHILL,CHOCK,CHUCK,CHUMP,CHUNK,CINCH,CIVIC,CIVIL,CLICK,CLIFF,CLING,CLINK,CLOCK,CLOTH,CLOUT,CLOWN,CLUCK,CLUMP,CLUNG,COLON,COMFY,COMIC,CONCH,CONIC,COUCH,COUGH,COUNT,COYLY,CUMIN,CYNIC,FICUS,FIFTH,FIFTY,FIGHT,FILLY,FILMY,FILTH,FINCH,FISHY,FIZZY,FLICK,FLING,FLINT,FLOCK,FLOSS,FLOUT,FLOWN,FLUFF,FLUNG,FLUNK,FLUSH,FOCUS,FOGGY,FOIST,FOLIO,FOLLY,FULLY,FUNGI,FUNKY,FUNNY,FUSSY,FUZZY,GHOST,GHOUL,GIPSY,GLINT,GLOOM,GLOSS,GLYPH,GOING,GOLLY,GOOFY,GUILT,GULCH,GULLY,GUMMY,GUPPY,GUSTO,GUSTY,GYPSY,HILLY,HIPPO,HIPPY,HITCH,HOIST,HOLLY,HOTLY,HUMPH,HUMUS,HUNCH,HUNKY,HUSKY,HUSSY,HUTCH,ICILY,ICING,IGLOO,IMPLY,INGOT,INPUT,IONIC,ITCHY,JIFFY,JOINT,JOIST,JOLLY,JOUST,JUICY,JUMPY,JUNTO,KINKY,KIOSK,KITTY,KNOCK,KNOLL,KNOWN,LIGHT,LIMIT,LINGO,LOCUS,LOFTY,LOGIC,LOGIN,LOOPY,LOUSY,LOWLY,LUCKY,LUMPY,LUNCH,LUPUS,LUSTY,LYING,LYMPH,LYNCH,MIGHT,MILKY,MIMIC,MINIM,MINTY,MINUS,MISSY,MOGUL,MOIST,MONTH,MOSSY,MOTIF,MOTTO,MOULT,MOUNT,MOUTH,MUCKY,MUCUS,MULCH,MUMMY,MUNCH,MUSHY,MUSIC,MUSKY,MUSTY,NIGHT,NINNY,NINTH,NOISY,NOTCH,NUTTY,NYLON,NYMPH,ONION,OPIUM,OPTIC,OUGHT,OUTGO,OWING,PHONY,PHOTO,PICKY,PIGGY,PILOT,PINCH,PINKY,PINTO,PITCH,PITHY,PIVOT,PLUCK,PLUMP,PLUNK,PLUSH,POINT,POLYP,POOCH,POPPY,POSIT,POUCH,POUTY,PUFFY,PULPY,PUNCH,PUPIL,PUPPY,PUSHY,PUTTY,PYGMY,QUICK,QUILL,QUILT,QUOTH,SCION,SCOFF,SCOOP,SCOUT,SCOWL,SHIFT,SHINY,SHOCK,SHOOK,SHOOT,SHOUT,SHOWN,SHOWY,SHUCK,SHUNT,SHUSH,SHYLY,SIGHT,SILKY,SILLY,SISSY,SIXTH,SIXTY,SKIFF,SKILL,SKIMP,SKULK,SKULL,SKUNK,SLICK,SLIMY,SLING,SLINK,SLOOP,SLOSH,SLOTH,SLUMP,SLUNG,SLUNK,SLUSH,SLYLY,SMITH,SMOCK,SMOKY,SNIFF,SNOOP,SNOUT,SNOWY,SNUCK,SNUFF,SOGGY,SONIC,SOOTH,SOOTY,SOUTH,SPICY,SPIKY,SPILL,SPILT,SPINY,SPLIT,SPOIL,SPOOF,SPOOK,SPOOL,SPOON,SPOUT,SPUNK,STICK,STIFF,STILL,STILT,STING,STINK,STINT,STOCK,STOIC,STOMP,STONY,STOOL,STOOP,STOUT,STUCK,STUFF,STUMP,STUNG,STUNK,STUNT,SUING,SULKY,SULLY,SUNNY,SUSHI,SWIFT,SWILL,SWING,SWISH,SWOON,SWOOP,SWUNG,THICK,THIGH,THING,THINK,THONG,THUMP,TIGHT,TIPSY,TONIC,TOOTH,TOPIC,TOUCH,TOUGH,TOXIC,TOXIN,TULIP,TUNIC,TWIST,TWIXT,TYING,UNCUT,UNFIT,UNIFY,UNION,UNITY,UNLIT,UNTIL,UNZIP,USING,VIGIL,VINYL,VISIT,VOMIT,VOUCH,VYING,WHICH,WHIFF,WHINY,WHISK,WHOOP,WIGHT,WILLY,WIMPY,WINCH,WISPY,WITCH,WITTY,WOOLY,WOOZY,YOUNG,YOUTH
IGLOO,47,17,12,45,105,74,71,31,62,13,22,20,3,17,17,12,11,13,39,30,4,0,43,11,23,6,31,5,17,15,52,41,20,45,41,11,4,4,1,25,38,77,18,4,12,14,16,12,13,46,5,35,24,17,8,3,0,2,4,9,66,82,73,128,8,4,11,3,0,5,6,1,1,6,5,1,1,22,23,0,9,27,5,0,64,33,2,2,13,103,74,81,48,42,50,79,1,1,1,1,0,2,1,1,76,4,3,2,17,31,107,0,43,22,38,38,8,51,4,17,0,6,12,1,1,1,9,17,25,35,32,38,19,2,45,31,13,5,57,40,23,19,50,3,3,15,30,8,0,14,22,29,77,75,13,135,64,42,47,64,42,1,54,25,5,13,47,0,54,0,14,6,7,0,2,18,0,47,14,0,20,33,0,24,35,0,29,39,31,25,2,1,10,47,5,18,25,101,4,54,27,122,44,65,31,54,13,12,27,0,38,0,17,14,26,18,35,0,0,22,26,33,56,39,89,39,9,4,4,55,32,30,57,12,43,31,28,75,19,14,4,16,0,17,14,30,5,29,29,21,24,34,36,36,0,15,25,54,66,5,5,7,7,13,24,40,11,10,21,6,2,0,0,0,0,22,55,22,32,7,11,4,20,22,21,8,25,11,0,0,25,48,72,63,10,45,53,9,5,5,48,63,29,13,8,51,0,0,15,26,5,5,25,6,72,13,27,4,8,6,23,4,8,4,8,31,36,49,3,67,33,30,0,11,8,16,60,9,7,14,27,8,30,8,49,58,26,46,0,11,5,62,27,43,30,42,3,16,4,29
IMPLY,47,4,1,98,105,2,71,31,62,13,22,20,16,17,34,24,16,34,39,2,33,30,9,10,73,57,61,48,35,8,9,26,20,45,10,32,2,1,18,25,4,12,18,13,12,30,29,19,37,46,33,35,24,37,53,24,24,3,6,66,37,43,30,53,49,21,1,12,7,27,2,41,3,53,5,24,6,6,2,38,27,4,2,2,1,33,24,2,9,4,9,81,39,27,32,79,1,1,2,1,2,1,1,1,11,26,29,3,46,27,2,48,6,37,10,94,8,103,16,2,20,13,14,21,25,1,7,3,15,1,32,1,13,8,1,19,6,2,5,4,2,3,1,5,4,12,7,4,18,1,7,6,5,9,4,2,11,5,3,5,5,23,7,25,17,49,44,9,1,50,2,8,41,61,36,11,18,2,4,2,9,2,5,8,4,7,8,2,8,2,5,4,22,4,3,12,9,11,1,20,1,4,3,10,4,54,1,5,53,26,62,21,26,27,26,13,54,68,63,31,46,36,56,39,89,11,21,2,2,7,32,5,57,1,2,15,6,75,19,2,13,16,5,23,17,2,25,29,29,4,1,1,1,36,20,28,31,54,66,40,28,63,36,31,6,5,1,1,6,1,1,31,28,10,25,11,19,22,32,1,4,18,20,22,44,23,7,28,35,22,47,48,72,4,43,45,53,35,8,5,34,63,29,1,33,51,72,25,58,26,36,24,25,61,2,38,1,30,107,3,39,41,49,44,2,31,36,49,17,67,33,20,45,19,12,16,17,35,14,3,27,7,57,24,49,58,17,46,27,37,2,1,27,1,30,10,10,67,31,31
INGOT,47,31,32,45,105,74,17,33,62,44,42,37,3,12,38,14,10,10,96,68,2,1,43,11,14,4,31,5,1,34,32,23,20,32,36,1,51,43,22,28,38,77,33,2,3,35,40,9,17,129,2,27,40,17,2,3,8,43,89,15,26,16,73,128,1,4,11,2,1,8,11,2,5,6,7,10,14,22,23,2,10,27,48,23,64,30,3,32,13,103,74,32,25,42,50,38,2,1,1,3,1,1,1,2,76,1,3,44,3,31,107,6,29,22,36,3,3,1,1,12,3,11,17,1,1,9,13,39,59,70,22,63,26,3,62,31,1,44,57,35,15,20,50,1,3,3,30,4,19,4,1,9,77,75,60,135,32,42,47,64,27,1,13,14,3,5,13,2,57,1,14,6,1,3,3,13,14,47,3,1,29,26,3,24,27,1,70,95,24,36,1,29,10,47,1,18,7,101,81,28,66,122,44,42,11,54,61,11,16,1,38,3,6,26,7,17,35,5,3,6,13,33,56,1,89,40,1,30,34,55,19,22,57,49,43,74,74,28,29,30,3,21,2,30,14,53,2,20,47,89,14,34,36,5,2,1,3,2,5,2,4,5,6,4,24,40,38,8,19,8,6,3,3,2,1,3,25,26,29,28,9,2,12,5,22,6,15,7,2,1,6,36,41,32,2,9,2,4,51,57,12,63,11,48,5,51,1,3,4,18,1,1,7,1,25,1,11,1,5,1,8,1,4,2,30,9,12,16,2,1,1,1,1,1,1,1,3,4,1,23,9,2,30,5,49,58,19,46,4,1,52,62,31,43,27,37,13,16,2,9
INPUT,47,31,32,98,47,9,13,33,62,44,42,37,11,12,88,17,1,39,40,7,12,42,58,78,36,24,40,32,3,52,4,23,2,32,36,15,51,43,22,28,38,77,33,20,3,68,66,2,43,49,15,14,20,1,90,8,64,69,39,6,16,8,30,58,8,5,3,2,92,65,21,19,67,90,2,21,39,48,1,6,12,4,48,2,2,30,4,42,19,7,3,24,18,19,23,17,2,1,2,1,1,1,1,2,76,4,10,83,6,6,8,9,29,37,36,9,8,10,13,12,13,1,30,45,20,10,13,71,25,5,17,1,8,18,17,31,17,44,57,35,15,1,50,3,8,14,65,29,43,3,4,9,29,3,21,57,23,17,4,20,10,7,13,14,13,14,11,35,8,5,1,2,5,12,18,2,6,8,11,1,3,2,1,4,5,3,7,3,2,5,1,3,22,2,1,7,2,10,8,3,1,1,4,4,23,6,5,2,11,14,62,21,1,45,7,17,54,68,10,2,33,39,33,4,42,40,9,30,34,55,19,22,57,49,13,31,31,18,29,30,20,21,18,44,6,6,16,15,27,89,14,58,52,5,1,2,6,8,7,59,13,14,28,9,8,11,14,2,4,3,9,31,28,21,7,1,3,26,29,28,9,10,12,5,31,25,4,8,30,4,2,15,17,2,9,9,4,5,17,19,7,9,11,48,22,51,48,25,19,18,20,6,7,8,3,15,1,8,27,1,12,11,30,10,1,2,12,16,6,2,1,1,1,1,1,1,1,3,42,23,9,18,40,20,49,58,19,46,27,16,52,12,31,8,27,37,71,122,13,9
IONIC,12,12,12,10,15,17,4,4,0,0,12,17,7,7,8,4,3,4,13,20,9,4,12,0,3,0,6,5,2,11,0,0,19,45,41,32,51,43,26,6,38,77,16,20,13,11,40,14,17,129,29,27,40,12,34,5,0,34,89,16,13,12,73,128,16,26,33,14,31,34,62,5,34,29,26,17,86,109,94,29,35,83,48,23,64,14,6,22,6,103,74,5,7,42,50,23,0,0,0,0,0,0,1,0,76,4,6,34,23,13,107,4,6,22,38,7,19,17,22,0,4,10,11,0,0,29,18,37,26,70,5,63,24,18,62,5,31,44,0,0,4,4,50,22,5,3,24,0,26,12,7,22,34,41,15,135,5,42,0,64,42,14,6,5,5,4,33,17,57,6,14,0,44,54,6,13,28,18,60,7,6,6,3,14,35,10,15,95,24,36,4,32,12,39,0,10,10,101,81,5,0,122,44,65,133,15,61,28,27,3,18,15,8,16,26,17,12,39,21,22,13,33,20,17,89,40,21,30,34,55,32,30,57,49,43,74,74,28,13,30,20,21,30,30,12,53,22,20,47,89,24,11,36,21,16,9,17,8,43,27,0,17,12,21,11,40,38,16,19,0,0,38,44,30,14,22,25,9,32,24,24,13,14,16,8,0,25,8,16,23,25,18,72,63,22,19,24,16,51,57,12,63,29,48,22,51,15,42,25,12,36,11,12,9,72,38,27,0,24,0,8,18,0,0,0,0,36,49,11,16,0,14,6,10,0,0,0,16,0,6,0,0,11,20,19,58,19,46,41,37,52,62,6,43,14,42,33,38,9,9
ITCHY,1,7,7,1,1,7,5,1,12,9,12,17,12,11,8,2,6,17,13,20,20,19,6,19,1,15,1,2,6,5,12,5,1,5,1,1,9,9,5,3,1,12,16,31,14,11,66,21,59,129,67,62,18,2,53,12,64,44,36,66,37,43,30,53,9,17,6,17,92,65,9,41,47,53,22,1,36,47,43,10,3,37,3,17,3,1,7,7,1,28,38,3,5,4,4,1,1,1,2,1,1,1,1,1,11,14,15,51,17,2,37,26,6,37,1,13,69,103,1,11,22,2,3,17,42,34,17,50,1,22,1,63,2,16,8,1,1,9,19,40,1,19,6,52,14,9,34,29,43,22,18,12,1,2,1,54,3,2,21,29,3,1,7,4,17,1,2,38,9,50,37,3,2,27,36,6,11,1,9,13,3,4,13,1,1,15,15,95,54,14,10,37,4,51,16,3,1,36,27,3,66,47,1,2,50,15,61,22,13,8,42,38,5,25,6,4,1,32,9,8,18,5,2,10,13,4,1,5,5,7,4,1,57,49,43,74,74,75,13,13,24,27,59,19,11,53,38,42,20,39,7,13,27,36,55,12,31,16,66,40,16,12,2,11,1,11,38,14,11,15,38,75,81,59,55,15,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,19,23,34,8,16,48,33,10,72,90,58,1,2,8,13,10,18,1,2,5,10,4,1,3,5,25,30,5,14,15,6,1,15,20,45,3,17,25,60,35,42,4,7,25,3,24,1,17,5,18,32,1,9,7,3,5,1,1,50,67,31,2
JIFFY,47,31,32,98,105,74,71,25,44,33,42,0,24,29,88,43,29,52,96,68,57,62,0,78,73,57,61,48,35,47,52,26,1,0,0,1,1,1,1,1,1,1,3,2,1,11,5,4,6,0,10,10,4,2,3,1,8,3,3,8,4,4,4,4,49,34,13,17,92,65,33,41,47,0,26,59,36,47,43,38,27,37,18,27,17,23,24,43,32,103,74,81,39,27,32,79,20,39,70,16,45,35,56,22,1,1,1,3,1,1,2,1,20,37,16,94,69,103,16,19,24,31,0,45,42,34,17,50,34,22,45,63,17,16,28,35,17,14,39,36,14,27,15,52,23,49,34,10,119,34,39,43,44,75,60,54,64,25,47,29,26,18,24,21,17,49,44,38,36,50,37,38,41,61,36,32,78,15,19,15,18,13,17,18,12,21,70,95,54,36,19,37,88,51,34,46,20,1,27,54,66,47,24,37,50,54,61,28,53,26,0,59,26,45,0,13,54,68,63,31,46,36,56,39,89,33,16,10,14,19,19,14,0,49,43,74,74,75,29,13,24,27,59,44,31,53,38,42,47,39,24,58,27,0,55,28,31,54,0,40,28,63,36,31,13,11,38,16,11,21,38,21,81,59,55,36,55,22,0,24,24,18,20,22,44,23,54,28,49,64,47,48,0,63,43,45,53,35,19,23,34,63,0,48,33,51,72,90,58,26,36,24,25,61,72,24,9,30,107,38,39,41,49,44,28,31,36,49,17,67,0,0,45,19,22,22,60,35,34,17,20,60,57,24,49,0,17,46,107,21,18,13,21,11,20,18,50,67,31,31
JOINT,40,30,30,45,105,74,17,33,62,44,35,33,8,15,38,14,10,10,96,68,11,7,13,7,8,4,29,23,2,20,32,23,20,32,36,15,51,43,22,28,38,77,28,8,3,35,40,9,17,129,11,18,40,19,34,2,7,34,89,14,26,17,73,128,8,26,33,3,31,34,62,2,34,29,11,59,86,109,94,13,20,83,48,23,64,30,2,22,14,103,74,32,25,42,50,38,32,10,21,60,2,5,4,27,2,1,1,3,1,2,2,1,29,22,36,14,19,17,13,12,7,13,17,7,3,29,18,37,59,70,22,63,26,5,62,31,17,44,57,35,15,20,50,22,2,4,24,4,14,6,2,9,77,75,60,135,32,42,47,64,27,7,20,14,3,4,13,17,57,4,7,6,9,28,2,5,14,47,60,6,29,26,3,24,27,5,70,95,15,36,1,32,24,39,1,24,11,101,81,28,66,122,44,42,133,40,42,11,16,4,38,29,6,26,6,10,35,39,6,6,13,33,56,4,89,40,9,30,34,55,19,22,26,19,29,74,74,17,16,16,4,9,30,30,14,53,6,12,47,89,8,34,36,14,16,2,17,28,43,27,3,11,14,8,16,21,21,2,11,8,6,38,44,30,14,3,15,11,12,9,2,4,6,4,22,6,15,4,23,21,6,36,41,32,4,7,4,6,51,57,13,63,5,18,5,26,15,42,7,17,16,5,6,4,25,15,11,2,12,5,11,11,6,2,30,9,6,12,5,6,5,17,5,9,4,12,34,6,42,23,9,5,28,8,40,44,16,22,41,16,52,62,31,43,27,37,33,38,2,12
JOIST,40,30,30,45,105,74,71,31,62,44,35,33,17,14,38,14,10,24,96,68,57,17,13,7,28,4,29,23,6,20,52,41,28,32,36,15,51,43,22,25,25,77,28,18,5,35,5,9,30,129,67,62,11,9,34,3,7,34,89,66,66,82,7,128,4,26,7,8,31,6,62,4,34,29,11,59,86,109,94,11,21,14,48,23,64,30,3,22,14,103,60,81,48,36,5,38,32,26,21,60,6,18,4,27,2,1,1,3,1,2,2,1,43,5,36,38,35,51,13,12,13,10,17,7,4,29,4,37,59,70,45,48,19,21,62,29,17,44,57,40,23,24,5,22,3,6,4,4,14,6,4,9,77,67,60,135,64,43,35,45,22,12,54,22,4,10,37,45,54,4,7,6,9,28,4,18,14,47,60,6,20,33,8,24,27,5,70,95,54,9,4,32,24,39,4,24,11,101,81,54,66,122,32,42,133,40,42,11,16,4,9,9,5,9,3,4,9,11,5,4,10,8,15,6,9,15,5,8,9,6,5,6,6,7,6,16,16,17,7,6,6,5,9,5,5,10,14,15,9,19,3,8,8,5,10,5,9,17,16,8,4,5,6,4,7,6,8,5,6,5,5,9,11,9,10,4,12,5,4,5,4,5,5,4,7,4,5,7,7,6,5,9,8,6,8,9,7,6,8,10,12,8,3,6,4,4,11,11,12,17,16,10,10,14,25,15,4,4,12,5,11,11,6,4,30,26,4,12,13,25,14,24,4,15,14,25,60,24,42,31,10,5,28,35,40,44,21,4,41,16,52,62,27,24,27,37,33,38,15,12
JOLLY,82,0,0,45,105,74,71,68,138,45,26,27,24,25,17,12,11,13,39,30,33,0,14,25,28,29,29,23,15,0,39,48,25,70,39,56,5,0,0,55,22,47,23,26,27,14,16,12,13,46,33,35,24,19,14,19,0,3,6,42,37,43,30,53,16,10,19,24,11,13,20,32,3,10,0,0,7,47,43,29,27,37,6,49,37,69,16,3,0,103,74,81,39,27,32,79,0,82,0,0,30,29,29,36,2,1,1,1,1,1,2,1,45,35,41,38,0,51,32,44,20,8,5,7,8,6,7,0,15,15,32,38,13,13,16,19,60,0,112,107,32,24,29,12,21,18,15,21,26,0,17,22,44,75,0,54,64,25,24,29,26,52,51,64,16,16,44,0,36,66,47,29,44,54,59,11,28,35,38,0,43,32,35,46,30,41,29,39,31,25,20,0,24,18,18,24,14,36,0,54,24,47,24,37,50,55,0,0,27,28,38,29,17,14,36,29,35,39,21,22,26,9,56,39,89,0,38,0,6,36,50,31,75,0,50,0,0,75,19,14,17,21,14,17,14,30,25,29,29,0,39,34,11,61,28,15,11,54,66,13,22,17,9,21,20,20,0,0,20,0,11,38,44,13,28,22,55,40,62,0,0,39,44,52,21,11,25,9,11,23,25,48,72,63,43,45,53,23,0,7,34,26,56,0,52,57,35,42,58,55,73,52,51,14,72,73,21,16,24,14,17,18,17,25,0,33,69,118,35,67,36,19,41,21,0,20,40,23,53,23,75,24,28,43,88,91,40,46,41,63,7,31,64,21,60,44,0,15,15,16
JOUST,82,57,57,45,17,17,9,68,138,87,76,77,46,54,38,14,3,24,17,14,9,17,13,25,28,29,6,5,2,20,19,51,31,21,31,11,73,60,18,55,37,108,67,59,8,35,5,4,30,30,16,15,1,3,34,1,20,34,39,33,28,35,2,58,4,6,6,6,31,6,62,32,34,29,11,21,39,48,44,6,12,14,39,49,53,24,1,22,14,38,17,16,18,18,1,17,48,82,43,51,8,3,29,10,2,1,1,3,1,1,1,1,67,3,27,38,35,51,9,13,39,2,17,14,19,29,1,37,25,32,7,15,13,44,62,29,10,50,112,107,19,21,4,9,1,6,4,10,14,2,1,2,29,21,21,57,10,23,24,22,12,7,82,15,1,10,14,45,54,66,14,25,10,16,59,18,14,46,76,9,43,46,15,19,19,12,14,24,11,1,2,32,24,39,1,5,6,44,35,10,32,54,22,21,133,34,39,11,4,7,9,9,1,9,1,8,9,11,5,1,10,8,2,1,2,15,1,6,6,4,1,2,18,14,13,1,1,4,12,4,12,14,9,5,5,1,1,1,1,19,1,8,8,20,10,1,9,4,3,8,3,5,6,1,7,10,14,2,10,2,4,9,11,9,10,1,3,6,6,5,2,3,6,2,7,2,5,7,7,6,1,1,1,1,1,1,1,6,5,5,6,4,2,16,19,3,11,11,4,27,30,21,22,14,7,10,2,11,12,12,4,5,13,11,17,12,2,15,25,5,8,45,27,17,6,20,56,33,100,49,10,2,6,70,88,91,42,7,41,12,72,74,64,40,24,30,33,38,8,4
JUICY,2,5,6,2,1,9,7,6,12,9,3,8,6,3,13,11,9,17,5,9,9,19,6,19,8,15,2,9,9,5,2,5,4,45,10,32,9,9,26,6,4,12,3,18,10,13,66,34,59,49,25,27,20,18,53,15,64,44,18,7,17,22,14,25,49,32,6,12,92,65,33,35,47,53,2,2,20,20,20,24,14,37,7,49,6,6,14,43,32,24,23,2,18,15,18,2,2,12,70,16,45,5,18,2,1,1,1,3,2,1,1,2,6,37,10,9,69,103,22,28,22,11,32,17,42,34,16,50,1,11,2,20,12,3,28,2,31,9,19,40,4,7,6,37,20,49,34,48,119,23,22,25,1,8,2,23,2,13,2,11,12,23,7,25,2,8,22,38,36,37,9,18,25,38,27,32,78,2,9,22,6,4,21,5,5,38,4,35,23,19,19,37,9,51,34,2,20,18,17,2,5,23,11,19,50,1,2,2,28,10,42,38,18,25,15,2,1,68,63,32,46,36,1,19,42,33,21,5,5,7,32,5,26,19,29,31,31,30,2,4,8,6,59,44,31,20,13,15,27,39,18,15,27,15,55,27,31,4,29,40,16,63,36,23,1,5,21,13,2,21,38,75,81,59,55,28,19,2,20,14,14,13,9,13,13,18,54,28,49,64,43,7,28,17,17,20,23,4,11,14,15,9,17,18,13,26,72,90,24,2,26,17,9,61,21,38,4,14,107,18,2,29,21,44,5,2,21,38,5,15,5,1,5,1,5,5,7,5,42,4,27,60,2,5,7,44,5,22,107,37,9,7,7,5,6,10,50,67,22,22
JUMPY,82,57,57,98,47,3,30,68,138,87,76,77,46,54,88,43,29,52,40,3,21,62,5,8,73,44,40,32,25,47,6,48,26,70,39,56,30,7,31,55,22,47,67,59,39,68,66,34,59,49,25,27,20,24,53,32,44,44,18,24,17,22,14,25,49,32,8,40,23,65,5,49,47,53,22,14,20,2,2,24,14,12,31,2,3,69,25,43,32,2,5,27,18,15,18,23,36,82,44,2,41,13,44,36,2,1,1,3,2,1,1,2,45,35,41,94,69,103,34,7,26,19,32,31,26,6,16,50,17,1,14,5,12,23,2,35,8,4,6,17,6,8,5,6,10,12,7,12,18,5,5,4,3,4,2,2,3,3,4,3,3,52,51,64,15,49,22,38,3,57,9,18,25,38,49,11,18,5,3,7,16,5,11,15,5,13,7,3,5,5,11,12,22,4,9,7,3,3,1,5,2,2,3,3,4,30,33,24,28,19,62,21,25,45,36,29,54,68,63,32,46,36,33,19,42,33,38,18,21,36,50,31,75,51,5,31,31,30,35,3,29,35,18,44,31,3,13,15,27,39,11,16,8,61,20,27,31,25,29,40,19,63,36,23,12,12,18,14,11,14,11,31,28,21,25,15,10,40,62,37,37,39,44,52,44,24,7,28,49,22,43,22,28,4,17,20,23,15,11,14,15,19,56,56,52,57,72,25,24,55,73,52,51,61,3,73,7,37,107,15,27,29,51,48,7,22,69,118,35,33,44,23,51,22,26,26,15,33,100,31,75,8,40,43,88,91,40,46,27,63,35,2,64,7,60,44,50,67,22,22
JUNTO,82,57,57,45,47,30,13,4,138,87,76,77,14,11,38,5,8,10,40,26,12,8,43,40,3,1,9,7,1,34,6,2,26,10,12,16,73,60,9,2,22,108,67,20,4,35,40,9,17,49,15,14,20,5,49,6,2,43,18,7,6,6,20,27,11,6,37,4,31,34,62,13,38,10,6,14,14,14,16,1,2,83,39,4,53,24,2,32,13,24,23,5,3,10,11,8,48,17,1,51,4,4,1,10,2,1,1,1,1,1,1,1,7,35,10,14,19,17,15,26,1,5,5,25,7,9,6,39,10,12,5,20,2,17,62,5,14,50,112,10,1,7,46,3,6,2,30,20,3,4,1,2,14,22,16,21,5,10,16,16,2,3,7,1,7,5,1,17,57,10,14,25,1,1,11,13,2,46,76,18,4,6,1,19,19,22,29,35,14,19,1,29,10,47,5,7,3,22,17,5,26,23,9,3,133,30,33,8,2,7,38,29,6,26,6,8,35,39,12,3,13,33,33,5,42,40,6,30,35,60,6,8,75,51,50,31,31,18,35,27,14,10,30,30,4,20,16,15,27,89,5,34,36,23,16,1,17,4,9,23,1,2,2,1,22,38,41,14,14,14,19,38,44,30,14,6,15,21,26,22,18,5,5,4,22,13,15,7,23,21,7,15,17,16,9,9,5,8,12,13,7,19,20,56,18,57,15,42,19,27,30,4,4,2,18,18,16,1,3,14,7,7,18,3,9,1,16,34,5,4,4,19,4,1,4,7,24,8,100,6,21,12,9,22,88,91,10,46,41,18,72,74,4,45,24,10,13,16,3,2
KINKY,5,31,32,13,12,74,4,9,44,33,3,37,11,2,10,43,29,39,8,68,18,42,40,78,11,8,61,48,6,47,32,5,28,23,16,19,17,14,15,9,11,22,3,20,13,8,66,34,43,129,29,3,40,37,53,24,64,44,36,16,0,3,30,53,49,34,13,14,92,65,33,19,47,53,26,59,36,47,43,38,27,37,18,27,17,23,24,43,32,103,74,8,0,0,32,79,20,13,70,16,17,26,8,22,22,13,29,51,46,27,37,11,1,0,0,0,0,0,16,19,11,31,32,45,20,34,17,50,0,22,6,63,17,3,28,7,17,0,39,11,3,11,15,52,23,9,34,48,119,34,10,43,0,75,60,54,6,25,47,0,26,5,3,6,3,30,7,12,10,16,37,38,41,61,18,6,78,0,19,15,7,0,8,18,12,21,5,95,2,36,10,37,88,51,34,46,20,36,27,6,66,47,24,37,50,5,61,28,53,14,62,59,26,45,26,3,5,8,63,31,33,36,6,17,89,33,16,0,14,19,19,14,5,4,2,5,10,4,3,13,20,2,59,44,31,53,22,3,47,39,24,5,0,21,38,19,8,2,43,40,7,63,36,31,13,0,38,16,2,21,38,75,7,59,43,36,3,3,32,24,24,13,2,16,5,23,54,5,49,64,47,5,72,63,22,4,24,16,0,23,3,63,29,48,22,51,48,90,25,4,36,11,2,13,72,24,9,6,107,38,39,41,49,26,28,5,36,49,3,26,23,4,13,3,17,17,34,16,34,4,20,60,57,3,49,58,3,5,107,21,18,13,9,11,20,18,50,67,7,31
KIOSK,0,31,32,0,0,74,0,25,44,33,0,37,24,0,0,12,17,18,0,68,57,15,43,11,23,6,31,25,17,34,52,41,12,23,12,19,22,18,15,20,2,28,0,31,15,0,2,21,24,129,67,0,11,22,49,1,8,43,89,66,16,82,7,128,2,21,1,17,19,1,62,7,38,25,26,59,86,109,94,25,31,14,9,1,11,23,1,32,17,103,60,81,13,11,5,79,24,39,21,60,6,35,5,29,28,4,1,44,4,31,107,41,0,1,0,1,0,0,16,19,2,17,21,7,4,17,2,39,9,70,45,48,21,22,62,29,17,1,39,36,6,12,1,31,1,15,2,8,37,23,22,29,11,67,60,135,64,43,35,12,32,18,23,21,1,13,47,45,54,12,14,6,44,54,13,16,15,1,18,1,18,1,1,18,9,2,0,95,0,9,2,29,12,47,2,18,25,101,81,54,66,122,32,65,133,0,61,28,30,2,3,4,3,2,6,5,0,0,3,3,3,3,0,8,9,15,5,1,4,1,6,3,1,1,1,0,2,0,0,4,9,0,2,1,1,10,14,0,9,19,4,0,1,8,4,3,4,0,16,2,1,3,3,3,3,1,7,6,4,8,1,3,0,2,4,3,0,0,6,8,8,6,0,7,0,1,3,3,1,3,3,0,9,6,7,0,10,7,2,10,12,8,5,10,8,3,4,4,12,0,36,24,0,18,72,24,1,4,16,6,23,27,8,4,28,31,4,49,12,67,33,30,13,11,22,22,60,15,34,14,6,8,30,26,49,58,26,0,18,21,23,19,21,5,20,13,17,29,32,29
